,Filtered_Text
0,"['butter', 'apples', 'firm', 'thick', 'sugar', 'cranberries', 'sheet', 'puff', 'pastry', 'package', 'directions', 'egg', 'cream']"
1,"['apples', 'butter', 'flour', 'sugar', 'water', 'inch', 'double-crust', 'pie', 'pastry']"
2,"['apples', 'water', 'sugar', 'cinnamon']"
3,"['apples', 'sugar', 'flour', 'cinnamon', 'water', 'oats', 'powder', 'soda', 'butter']"
4,"['apples', 'juice', 'water', 'sugar', 'cornstarch', 'cinnamon', 'salt', 'nutmeg']"
5,"['apples', 'sugar', 'cinnamon', 'brown', 'oats', 'flour', 'cold', 'butter']"
6,"['fluid', 'bottle', 'apple', 'cider', 'cinnamon', 'sticks', 'allspice', 'cloves', 'brown', 'sugar']"
7,"['cranberries', 'sugar', 'cinnamon', 'nutmeg']"
8,"['pastry', 'pie', 'apples', 'butter', 'brown', 'sugar', 'cinnamon', 'water', 'vanilla', 'extract']"
9,"['butter', 'sugar', 'cinnamon']"
10,"['juice', 'water', 'butter', 'brown', 'sugar', 'cinnamon', 'cornstarch', 'package', 'puff', 'pastry', 'sheets', 'confectioners', 'milk', 'vanilla', 'extract']"
11,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']"
12,"['tart', 'apples', 'wooden', 'chopsticks', 'handles', 'sugar', 'milk', 'corn', 'syrup', 'butter', 'vanilla', 'extract']"
13,"['onion', 'stalks', 'celery', 'carrot', 'butter', 'flour', 'powder', 'apple', 'rice', 'skinless', 'boneless', 'breast', 'half', 'cut', 'cubes', 'thyme', 'salt', 'pepper', 'taste', 'cream']"
14,"['butter', 'tart', 'inch', 'thick', 'water', 'cornstarch', 'brown', 'sugar', 'cinnamon']"
15,"['apples', 'water', 'sugar', 'cinnamon', 'allspice']"
16,"['sugar', 'cornstarch', 'cinnamon', 'water', 'salt', 'juice', 'food', 'coloring', 'apples']"
17,"['package', 'pastry', 'pie', 'sugar', 'cinnamon', 'apples', 'butter']"
18,"['apples', 'lemon', 'juice', 'sugar', 'flour', 'cinnamon', 'raisins', 'walnuts', 'inch', 'pie', 'shell', 'butter']"
19,"['apples', 'wooden', 'craft', 'sticks', 'spray', 'package', 'caramels', 'milk']"
20,"['oil', 'eggs', 'sugar', 'vanilla', 'extract', 'flour', 'cinnamon', 'baking', 'soda', 'salt', 'apples']"
21,"['bread', 'wheat', 'sausage', 'onion', 'celery', 'sage', 'thyme', 'apple', 'cranberries', 'parsley', 'turkey', 'liver', 'stock', 'butter']"
22,"['butter', 'apples', 'chunks', 'sugar', 'salt', 'cinnamon', 'water', 'dough', 'pieces', 'egg', 'milk']"
23,"['apples', 'apple', 'juice', 'sugar', 'cider', 'vinegar', 'cinnamon', 'cloves', 'allspice', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
24,"['flour', 'sugar', 'powder', 'cinnamon', 'salt', 'egg', 'oil', 'milk', 'apples']"
25,"['eggs', 'sugar', 'oil', 'vanilla', 'extract', 'apples', 'flour', 'salt', 'powder', 'cinnamon']"
26,"['oil', 'deep-frying', 'flour', 'sugar', 'powder', 'salt', 'milk', 'eggs', 'beaten', 'apples', 'cinnamon']"
27,"['apple', 'filling', 'cinnamon', 'margarine', 'brown', 'sugar', 'flour']"
28,"['flour', 'powder', 'soda', 'salt', 'sugar', 'butter', 'eggs', 'vanilla', 'apples']"
29,"['butter', 'sugar', 'vanilla', 'cinnamon', 'apples', 'water']"
30,"['mayonnaise', 'sugar', 'lemon', 'juice', 'salt', 'apples', 'celery', 'walnuts', 'raisins']"
31,"['butter', 'apples', 'firm', 'thick', 'sugar', 'cranberries', 'sheet', 'puff', 'pastry', 'package', 'directions', 'egg', 'cream']"
32,"['apples', 'butter', 'flour', 'sugar', 'water', 'inch', 'double-crust', 'pie', 'pastry']"
33,"['apples', 'water', 'sugar', 'cinnamon']"
34,"['apples', 'sugar', 'flour', 'cinnamon', 'water', 'oats', 'powder', 'soda', 'butter']"
35,"['apples', 'juice', 'water', 'sugar', 'cornstarch', 'cinnamon', 'salt', 'nutmeg']"
36,"['apples', 'sugar', 'cinnamon', 'brown', 'oats', 'flour', 'cold', 'butter']"
37,"['fluid', 'bottle', 'apple', 'cider', 'cinnamon', 'sticks', 'allspice', 'cloves', 'brown', 'sugar']"
38,"['cranberries', 'sugar', 'cinnamon', 'nutmeg']"
39,"['pastry', 'pie', 'apples', 'butter', 'brown', 'sugar', 'cinnamon', 'water', 'vanilla', 'extract']"
40,"['butter', 'sugar', 'cinnamon']"
41,"['juice', 'water', 'butter', 'brown', 'sugar', 'cinnamon', 'cornstarch', 'package', 'puff', 'pastry', 'sheets', 'confectioners', 'milk', 'vanilla', 'extract']"
42,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']"
43,"['tart', 'apples', 'wooden', 'chopsticks', 'handles', 'sugar', 'milk', 'corn', 'syrup', 'butter', 'vanilla', 'extract']"
44,"['onion', 'stalks', 'celery', 'carrot', 'butter', 'flour', 'powder', 'apple', 'rice', 'skinless', 'boneless', 'breast', 'half', 'cut', 'cubes', 'thyme', 'salt', 'pepper', 'taste', 'cream']"
45,"['butter', 'tart', 'inch', 'thick', 'water', 'cornstarch', 'brown', 'sugar', 'cinnamon']"
46,"['apples', 'water', 'sugar', 'cinnamon', 'allspice']"
47,"['sugar', 'cornstarch', 'cinnamon', 'water', 'salt', 'juice', 'food', 'coloring', 'apples']"
48,"['package', 'pastry', 'pie', 'sugar', 'cinnamon', 'apples', 'butter']"
49,"['apples', 'lemon', 'juice', 'sugar', 'flour', 'cinnamon', 'raisins', 'walnuts', 'inch', 'pie', 'shell', 'butter']"
50,"['apples', 'wooden', 'craft', 'sticks', 'spray', 'package', 'caramels', 'milk']"
51,"['oil', 'eggs', 'sugar', 'vanilla', 'extract', 'flour', 'cinnamon', 'baking', 'soda', 'salt', 'apples']"
52,"['bread', 'wheat', 'sausage', 'onion', 'celery', 'sage', 'thyme', 'apple', 'cranberries', 'parsley', 'turkey', 'liver', 'stock', 'butter']"
53,"['butter', 'apples', 'chunks', 'sugar', 'salt', 'cinnamon', 'water', 'dough', 'pieces', 'egg', 'milk']"
54,"['apples', 'apple', 'juice', 'sugar', 'cider', 'vinegar', 'cinnamon', 'cloves', 'allspice', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
55,"['flour', 'sugar', 'powder', 'cinnamon', 'salt', 'egg', 'oil', 'milk', 'apples']"
56,"['eggs', 'sugar', 'oil', 'vanilla', 'extract', 'apples', 'flour', 'salt', 'powder', 'cinnamon']"
57,"['oil', 'deep-frying', 'flour', 'sugar', 'powder', 'salt', 'milk', 'eggs', 'beaten', 'apples', 'cinnamon']"
58,"['apple', 'filling', 'cinnamon', 'margarine', 'brown', 'sugar', 'flour']"
59,"['flour', 'powder', 'soda', 'salt', 'sugar', 'butter', 'eggs', 'vanilla', 'apples']"
60,"['butter', 'sugar', 'vanilla', 'cinnamon', 'apples', 'water']"
61,"['mayonnaise', 'sugar', 'lemon', 'juice', 'salt', 'apples', 'celery', 'walnuts', 'raisins']"
62,"['butter', 'apples', 'firm', 'thick', 'sugar', 'cranberries', 'sheet', 'puff', 'pastry', 'package', 'directions', 'egg', 'cream']"
63,"['apples', 'butter', 'flour', 'sugar', 'water', 'inch', 'double-crust', 'pie', 'pastry']"
64,"['apples', 'water', 'sugar', 'cinnamon']"
65,"['apples', 'sugar', 'flour', 'cinnamon', 'water', 'oats', 'powder', 'soda', 'butter']"
66,"['apples', 'juice', 'water', 'sugar', 'cornstarch', 'cinnamon', 'salt', 'nutmeg']"
67,"['apples', 'sugar', 'cinnamon', 'brown', 'oats', 'flour', 'cold', 'butter']"
68,"['fluid', 'bottle', 'apple', 'cider', 'cinnamon', 'sticks', 'allspice', 'cloves', 'brown', 'sugar']"
69,"['cranberries', 'sugar', 'cinnamon', 'nutmeg']"
70,"['pastry', 'pie', 'apples', 'butter', 'brown', 'sugar', 'cinnamon', 'water', 'vanilla', 'extract']"
71,"['butter', 'sugar', 'cinnamon']"
72,"['juice', 'water', 'butter', 'brown', 'sugar', 'cinnamon', 'cornstarch', 'package', 'puff', 'pastry', 'sheets', 'confectioners', 'milk', 'vanilla', 'extract']"
73,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']"
74,"['tart', 'apples', 'wooden', 'chopsticks', 'handles', 'sugar', 'milk', 'corn', 'syrup', 'butter', 'vanilla', 'extract']"
75,"['onion', 'stalks', 'celery', 'carrot', 'butter', 'flour', 'powder', 'apple', 'rice', 'skinless', 'boneless', 'breast', 'half', 'cut', 'cubes', 'thyme', 'salt', 'pepper', 'taste', 'cream']"
76,"['butter', 'tart', 'inch', 'thick', 'water', 'cornstarch', 'brown', 'sugar', 'cinnamon']"
77,"['apples', 'water', 'sugar', 'cinnamon', 'allspice']"
78,"['sugar', 'cornstarch', 'cinnamon', 'water', 'salt', 'juice', 'food', 'coloring', 'apples']"
79,"['package', 'pastry', 'pie', 'sugar', 'cinnamon', 'apples', 'butter']"
80,"['apples', 'lemon', 'juice', 'sugar', 'flour', 'cinnamon', 'raisins', 'walnuts', 'inch', 'pie', 'shell', 'butter']"
81,"['apples', 'wooden', 'craft', 'sticks', 'spray', 'package', 'caramels', 'milk']"
82,"['oil', 'eggs', 'sugar', 'vanilla', 'extract', 'flour', 'cinnamon', 'baking', 'soda', 'salt', 'apples']"
83,"['bread', 'wheat', 'sausage', 'onion', 'celery', 'sage', 'thyme', 'apple', 'cranberries', 'parsley', 'turkey', 'liver', 'stock', 'butter']"
84,"['butter', 'apples', 'chunks', 'sugar', 'salt', 'cinnamon', 'water', 'dough', 'pieces', 'egg', 'milk']"
85,"['apples', 'apple', 'juice', 'sugar', 'cider', 'vinegar', 'cinnamon', 'cloves', 'allspice', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
86,"['flour', 'sugar', 'powder', 'cinnamon', 'salt', 'egg', 'oil', 'milk', 'apples']"
87,"['eggs', 'sugar', 'oil', 'vanilla', 'extract', 'apples', 'flour', 'salt', 'powder', 'cinnamon']"
88,"['oil', 'deep-frying', 'flour', 'sugar', 'powder', 'salt', 'milk', 'eggs', 'beaten', 'apples', 'cinnamon']"
89,"['apple', 'filling', 'cinnamon', 'margarine', 'brown', 'sugar', 'flour']"
90,"['flour', 'powder', 'soda', 'salt', 'sugar', 'butter', 'eggs', 'vanilla', 'apples']"
91,"['butter', 'sugar', 'vanilla', 'cinnamon', 'apples', 'water']"
92,"['mayonnaise', 'sugar', 'lemon', 'juice', 'salt', 'apples', 'celery', 'walnuts', 'raisins']"
93,"['butter', 'apples', 'firm', 'thick', 'sugar', 'cranberries', 'sheet', 'puff', 'pastry', 'package', 'directions', 'egg', 'cream']"
94,"['apples', 'butter', 'flour', 'sugar', 'water', 'inch', 'double-crust', 'pie', 'pastry']"
95,"['apples', 'water', 'sugar', 'cinnamon']"
96,"['apples', 'sugar', 'flour', 'cinnamon', 'water', 'oats', 'powder', 'soda', 'butter']"
97,"['apples', 'juice', 'water', 'sugar', 'cornstarch', 'cinnamon', 'salt', 'nutmeg']"
98,"['apples', 'sugar', 'cinnamon', 'brown', 'oats', 'flour', 'cold', 'butter']"
99,"['fluid', 'bottle', 'apple', 'cider', 'cinnamon', 'sticks', 'allspice', 'cloves', 'brown', 'sugar']"
100,"['cranberries', 'sugar', 'cinnamon', 'nutmeg']"
101,"['pastry', 'pie', 'apples', 'butter', 'brown', 'sugar', 'cinnamon', 'water', 'vanilla', 'extract']"
102,"['butter', 'sugar', 'cinnamon']"
103,"['juice', 'water', 'butter', 'brown', 'sugar', 'cinnamon', 'cornstarch', 'package', 'puff', 'pastry', 'sheets', 'confectioners', 'milk', 'vanilla', 'extract']"
104,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']"
105,"['tart', 'apples', 'wooden', 'chopsticks', 'handles', 'sugar', 'milk', 'corn', 'syrup', 'butter', 'vanilla', 'extract']"
106,"['onion', 'stalks', 'celery', 'carrot', 'butter', 'flour', 'powder', 'apple', 'rice', 'skinless', 'boneless', 'breast', 'half', 'cut', 'cubes', 'thyme', 'salt', 'pepper', 'taste', 'cream']"
107,"['butter', 'tart', 'inch', 'thick', 'water', 'cornstarch', 'brown', 'sugar', 'cinnamon']"
108,"['apples', 'water', 'sugar', 'cinnamon', 'allspice']"
109,"['sugar', 'cornstarch', 'cinnamon', 'water', 'salt', 'juice', 'food', 'coloring', 'apples']"
